image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold,density_clahe_otsu_pred,density_clahe_otsu_orig
160x_2025-05-15_02-05-00.tif,160,160x,23,1536,1024,0.2250557,0.5816230773925781,0.7093849182128906
160x_2025-05-15_02-05-00.tif,160,160x,24,1536,1536,0.22227097,0.5761756896972656,0.7066459655761719
160x_2025-05-15_02-05-00.tif,160,160x,25,1536,2048,0.2229805,0.57806396484375,0.6944999694824219
160x_2025-05-15_02-05-00.tif,160,160x,26,1536,2560,0.25394058,0.5623283386230469,0.6752243041992188
160x_2025-05-15_02-05-00.tif,160,160x,27,1536,3072,0.3690071,0.5144729614257812,0.6109237670898438
20x_2025-05-15_02-05-00.tif,20,20x,0,0,0,0.8110161,0.3915596008300781,0.4254341125488281
20x_2025-05-15_02-05-00.tif,20,20x,1,0,512,0.8181839,0.35816192626953125,0.423187255859375
20x_2025-05-15_02-05-00.tif,20,20x,2,0,1024,0.8202095,0.3615379333496094,0.4322166442871094
20x_2025-05-15_02-05-00.tif,20,20x,3,0,1536,0.8090172,0.3829193115234375,0.4316368103027344
20x_2025-05-15_02-05-00.tif,20,20x,4,0,2048,0.7991257,0.389739990234375,0.4258232116699219
20x_2025-05-15_02-05-00.tif,20,20x,5,0,2560,0.80747604,0.40821075439453125,0.40584564208984375
20x_2025-05-15_02-05-00.tif,20,20x,6,0,3072,0.76146317,0.4478759765625,0.4216804504394531
20x_2025-05-15_02-05-00.tif,20,20x,7,512,0,0.8030586,0.3832206726074219,0.4414520263671875
20x_2025-05-15_02-05-00.tif,20,20x,8,512,512,0.80524826,0.35913848876953125,0.4453163146972656
20x_2025-05-15_02-05-00.tif,20,20x,9,512,1024,0.80259323,0.35921478271484375,0.4391136169433594
20x_2025-05-15_02-05-00.tif,20,20x,10,512,1536,0.80319977,0.3671455383300781,0.436920166015625
20x_2025-05-15_02-05-00.tif,20,20x,11,512,2048,0.7995453,0.3914527893066406,0.428741455078125
